sentences,labels
"RT @kevodiaz_ : Volvamos a irnos OT , volvamos a tirar SM , volvamos a tener TC , no suban screenshots por montarla , volvamos a lo que de verda …",1
Caen gotas de sangre y sudor !! !! COD BLACK OPS 3 VS BATTLEFRONT - CYCLO & KRONNO ZOMBER http://t.co/Gu7Z7rbzNX,1
RT @nashua_santiago : Estos cachorritos estan en busca de un buen hogar . Acabo de encontrarlos solos en la calle . Para mas info DM . https://…,1
"RT @mguindin : "" Guarden todo que hay Quiz "" https://t.co/l1zPb7CZqd",1
"@yamidelvalleee Wow , acabas de romper el record de la más boba .",1
"RT @cee_gonz : mis personas favoritas son las que la cagan y después se tiran la de "" eso no era pa ' ti "" #same",1
RT @marukaLT : El struggle de mi vida es que quiero un cuerpo cabrón pero me encanta comer .,1
Batman VS Superman ! 😁😍 bueno zombers me voy a descansar ! Buenas noches ! 🌙 y que sueñen con 👼🏻 xD https://t.co/niRXVAFIr8,1
BROCO - COLA ! 😂😂 ❤ ️ https://t.co/nDOsUuTFxT,1
@_lapatrona666_ jajaja yeyyyy,1
RT @PuertoRicoPUR : ¡ Orgullo Boricua ! #PuertoRico vence a Cuba en el Grand Prix @VilmarieMojica @AleOqu016 @AzCruz #Volleyball #PUR ⚪🔵🔴👏 htt …,1
Zumba Free #westlandmall #Hialeah Mañana Domingo 9 a 11 am #ponteenformaconlagatita #ponteenforma … http://t.co/xu6nIq37mq,1
Q bueno q estoy libre .. . #relax #Adormir con la lluvia,1
RT @_tetanic : @Obeldavis tach dimelo a mi,1
RT @franxsf : ese anuncio de jeep got to me,1
"Respuesta #TechTrivia : 45% de los hombres hacen compras usando un móvil , comparado con 34% de las mujeres .",1
New week new outfit 👏 Para envíos a nivel nacional escribenos al 096.880.7384 #Salhuaclothing http://t.co/pouyqf5TBP,1
RT @badgalaly : pero nunca me cansaría so https://t.co/BQst2Om65h,1
"Me ha gustado un vídeo de @YouTube de @zarcortgame ( https://t.co/ywbe7pYtDq - CIVIL WAR RAP | ZARCORT , PITER-G Y CYCLO ) .",1
RT @giovaavictoriaa : Extraño cantar In The Heights songs con @Ms_Prisci,1
"The border ? Existe un border para los puertorriqueños ? Wow , eduquenme porque en los aereopuertos no me dijeron na ' https://t.co/5n3XM6FmZI",1
Quiero un husky 😍,1
Me voy a quedar dormido escuchando Rise of the Tomb Raider | Buenas noches zombers ! 😍 http://t.co/CWVpDVuWTD,1
RT @resistenciadepo : #LAIBasket #FinalFour ¡ VAQUERAS ! | Pitirres 59-60 Vaqueras | FINAL | #UNE Rivera 20pts ; #UPRB Pagán 14pts #RoadG üez ht …,1
OVERWATCH | KRONNO ZOMBER & ZARCORT | ( Videoclip Oficial ): https://t.co/8kl9rVTT5I vía @YouTube,1
"@alexandrarosado jajaja que cute esa picccc , gracias Aleeee !! yo también te amo 😘",1
RT @juaniPra1 : Yo el mundo active @MunecoGabriel @guillooooo @andrea_baez10 @GabaRivas @llerilee @PeterBlasini https://t.co/KsRtmZeKhU,1
"Te espero con 1 , 000 al mejor disfraz en hialeahpark llega temprano ! #elvacilondelagatita https://t.co/guN22BFWTX",1
Lunch with the fiancé . Almuerzo con mi guerejo #miguerejoyyo http://t.co/Drlj35YdID,1
Mis estornudos son tan sutiles que el vecino del piso de abajo me dijo salud . #tremendo #ImALadyISwear,1
COD BLACK OPS 3 VS BATTLEFRONT - CYCLO & KRONNO ZOMBER ( Videoclip Oficial ) http://t.co/Gu7Z7rbzNX,1
"Finalmente, estos son los PCR y los test de anticuerpos realizados entre el 8 y el 14 de mayo. #Coronavirus
(4/4) https://t.co/MXop51lnXM",0
La curva del covid está empezando a crecer otra vez de manera exponencial... Tomáoslo a guasa. https://t.co/Tj3IErX0ci,0
"Sara Bravo, 28 años. Médico de familia en Mota del Cuervo, Cuenca. Falleció por #COVIDー19

En su historial médico solo figuraba asma leve, relacionado con la alergia.

El virus no sólo atacó a los pulmones, también lo hizo al corazón.

La familia, residente en Zamora",0
"Multas por expresarnos.
Multas por reunirnos y protestar.
Multas por informar.
Multas arbitrarias durante la pandemia.
Sin mecanismos de control de abusos policiales.

Tras #5AñosDeMordazas decimos ¡Basta! ⚡ https://t.co/Id1wteb97b #BastaDeMordazas https://t.co/Ajh1OvW9mp",0
Magnífica intervención de @Macarena_Olona en TVE. Fortes no ha conseguido su propósito y ha salido “magullado”. https://t.co/uunwolfAqm,0
"Se duplican los contagios por Coronavirus en Madrid: 
""654 positivos y cuatro fallecidos en las últimas 24 horas""

¿LA OPOSICÓN DE MADRID SEGUIRA IMPASIBLE ANTE ESTA ESPECIE DE  ""GENOCIDIO""...SOLO PARA SACAR RENTABILIDAD...""MAÑANA""?

Se os ve el plumero...¡A TOD@S! https://t.co/9OcZ2p8lsI",0
"Artículo 1.1 del Código Civil: ""Las fuentes del ordenamiento jurídico español son la ley, la costumbre, los principios generales del Derecho y Fernando Simón"".",0
"El único sitio de Europa con mascarillas en la calle, con medidas bizarras, Europa occidental vive libre y nosotros en un campo de concentración, no veis que algo no cuadra????????? https://t.co/tJUhqQ35Rw",0
"Solo unidas y unidos, desde lo público, y pensando en la gente de este país, pararemos esta pandemia.

🎥 @Yolanda_Diaz_ 👏👏 https://t.co/NBF3b8E7kF",0
"En el confinamiento por el #Covid_19 se ha denunciado la escasez de recursos sanitarios en la #EspañaVaciada
Ahora crecen los contagios y hay fondos ¿ha mejorado algo? 
Seguimos con cifras ridículas de camas UCI, atendidas por 1 enfermera por cada 3 camas
https://t.co/zNYoFUsF8T",0
"""Vamos a salir mejores"".
NO, no vamos a salir mejores porque no sabemos ser personas y cumplir normas. Da igual que estemos en una pandemia mundial.

Trabajo en una tienda de ropa y esto es lo que me ha pasado.

Abro hilo por una vez no relacionado con el arte ⬇️ https://t.co/2wYLl3JisY",0
"Madrid ha realizado ya más de 460.000 test PCR de coronavirus a casi el 7% de la población

#Madrid #Salud #Test #PCR #TestRápidos #CoronavirusMadrid #COVID19
https://t.co/BQANfPigZ0",0
"España es de los países que peor respondió a la pandemia, según 'The Economist' https://t.co/0UUKrKCwE8",0
"A medida que se va investigando sobre el #COVID-19, los expertos siguen identificando más #síntomas relacionados con el virus. Estos son algunos de los más recientes. https://t.co/2zLWjIVEHf",0
"Ese que sujeta el altavoz a la condenada @isaserras se parece mucho al enfermero que se pasa el día hablando del coronavirus en @rtve como “experto”. Pero no puede ser, es imposible que sean tan sectarios. https://t.co/saqvprZDZ3",0
Hay otra pandemia que sigue matando día a día y también debemos priorizar en erradicar.,0
"Nuestros agricultores y ganaderos están siendo absolutamente esenciales en el abastecimiento de alimentos durante el confinamiento.

El campo debe contar, y mucho, en la recuperación económica y social de #CLM. Representa un 10% del PIB.

Reunión de trabajo @Cs_CLM y @ASAJACLM. https://t.co/HzmQzoYvEP",0
"Según Ayuso cada semana cierra un negocio. Como llevamos 8 semanas de confinamiento, habrían cerrado 8 negocios. Muchos menos que en tiempos normales... Los cálculos no son lo suyo.",0
"Afirmaba no hace mucho @sanchezcastejon que asumiría toda la responsabilidad en esta crisis. Hoy se aportan nuevos datos. Hasta en 10 ocasiones advirtió la UE del peligro del COVID 19 al gobierno.

Y se pasaron las advertencias por el forro. https://t.co/WuZ6Ui6xPc",0
"1-La ministra de Igualdad y pareja del vicepresidente 2o, @IreneMontero, se ha saltado el protocolo sanitario desde que diera positivo por Coronavirus el pasado 12 de marzo. Estuvo anoche en @desdelamoncloa, en torno a las 21:00 de la noche, en una reunión totalmente imprevista.",0
"📢“Nos encontramos ante un momento crucial, de ninguna manera debe relajarse la responsabilidad comunitaria, el compromiso con la salud es un deber de todos”
El compromiso común será la clave para confirmar la derrota del virus en un momento crítico 
https://t.co/jDPQksTWyY",0
"Lo que peor me ha hecho pasar este confinamiento, es estar lejos de mi familia, esa distancia de 5:30 h. en coche o 2:30 en AVE, se me ha hecho muy cuesta arriba por el miedo a que pase algo. También es cierto que soy un enamorado de Malaga.",0
"Las mujeres con menores que teletrabajan soportan la mayor parte del estrés del confinamiento
""Muchas están trabajando a la vez que están cuidando, y algunas sienten que están todo el día trabajando""
https://t.co/dzKRIJA3i0",0
"📈 El coronavirus acelera otra vez en todas las áreas de Galicia, sobre todo en las más turísticas: A Coruña, Pontevedra y Vigo.

     ⚠️ https://t.co/sAwkmkUN5f",0
Ricky Rubio ha confirmado ante los medios que dio positivo por coronavirus https://t.co/Ar4NqGpG76,0
"“Todo sirve para malmeter contra España a cualquier precio. Mientras en Cataluña, la Sanidad que gestionó el propio Puigdemont está a punto de colapsar” 👉 Puigdemont y Ponsatí malmeten en Bruselas contra España incluso con el COVID-19 https://t.co/gCvgEp9koO",0
"Coronavirus: ""El desplome de los precios del petróleo es un peligro para la economía mundial"" ( Según la casta... ) https://t.co/nijMvPgpUM",0
"La vuelta a la normalidad, con mascarilla... Y filtros... https://t.co/mSsD6De9o3",0
"Esto, una preguntita. La mascarilla al final me la tengo que poner o no. Lo digo porque unos dicen que si, otros dicen que no y hay quien dice que no es obligatorio.",0
"🇨🇳 Cancelamos eventos.
🇩🇪 Cancelamos eventos.
🇮🇹 Cancelamos eventos.
🇯🇵 Cancelamos eventos.
🇫🇷 Cancelamos eventos.
🇪🇸 Porque incluso hay países que están tomando medidas drásticas pero tía, o sea, el 8-M es lo primero. https://t.co/UrkocBcQgr",0
"Aunque prometí desconectar, esta tarde, al fresco de una terraza castellana, he recordado que hace 15 años escribía de enfermedades emergentes en las marismas del Guadalquivir, de mosquitos asiáticos, de virus del Nilo, de cambio climático... Sí,
15 años.
https://t.co/rL3jOATSvL",0
"Despues de 1500 muertos en Madrid y cuando ha salido la noticia en la prensa,la señora ha considerado que lo mismo era buena idea abrir la UCI que dicen no tener cerrada.Cuando acabe esto,hay que llevar a esta señora al juzgado por negligencia.",0
"Los mercados mundiales intentan recuperarse. No hay una ""cura"" contra el #COVID19 que brinde ""seguridad"". Muchos no asistirán al cine por eso y, por ende, la taquilla no recaudará. Los contagios siguen.

Asi que no, pienso que #BlackWidow finalmente se retrasará hasta el 2021. https://t.co/retJwjcKvc",0
"📽️ ""La crisis del Covid-19 ha puesto encima de la mesa lo que significan los recortes, lo que significa la privatización y lo que significan las condiciones de precariedad en las que trabajan los profesionales de los servicios sociales en los centros de mayores"".

@PabloIglesias https://t.co/6fgX05Qh1G",0
Felipe VI: reinar entre Pedro y Pablo ➡ El papel de la Familia Real. El Monarca se ha volcado en la pandemia pese a que el Gobierno le ha dado perfil bajo https://t.co/WvO4v4XfLo,0
"🎶👕 Hala Madrid y nada más... ¡como nunca lo has visto! 🤩
🇪🇸👏 Óscar Ladero Córdoba
#YoMeQuedoEnCasa | #StayHome https://t.co/M7qMvuHxfZ",0
"Al 11 de julio de 2020 hay 295,268 casos confirmados, 30,682 activos y 78,393 sospechosos de #COVID19. Se han registrado 350,007 negativos, 34,730 defunciones confirmadas y 180,852 personas recuperadas. 1/2 https://t.co/vjanbeTLva",0
"¿Queréis saber algo muy gracioso y a la vez irónico? Este pazguato va disfrazado de George Washington, quien en 1775 evitó que la viruela se propagara por Boston... a ver si lo adivináis... ¡Mediante la imposición de un CONFINAMIENTO!",0
La UE urge a la banca a dejar de pagar dividendos durante la pandemia https://t.co/r0WvBwGCHv vía @el_pais,0
"José Sarukhán Kérmez, miembro de El Colegio Nacional, refiere que en el contexto de la pandemia del COVID-19 que ve “terriblemente mal”, la ciencia “está muy maltratada” en nuestro país. https://t.co/9ZcyIuAyKd",0
"Que suerte que el covid nos agarró con otro presidente, sino teníamos más muertos que ee.uu con éste pelotudo al mando... si, todos entendemos a que se refiere con LIBRES",0
Qué triste la catalanización de España.,0
El plan de Ámsterdam para relanzar su economía ante el coronavirus apuesta por romper con el actual modelo de consumo  https://t.co/bxZhy71m8D vía @ballenablanca_,0
"A ver, la segunda temporada de Pandemia ha estado bastante bien, pero creo que colar la subtrama de Kim Jong-un en el último episodio ha sido un pelín forzado, un intento demasiado obvio de sorprender a la audiencia con un cliffhanger inesperado.",0
"La cartilla COVID era un disparate y una auténtica temeridad y nos alegramos de esta noticia.

Madrid merece un Gobierno que se base en el rigor y en la ciencia, y no en experimentos con gaseosa en mitad de una grave pandemia.

https://t.co/XQUwdjdzTJ https://t.co/O1mviqTU8F",0
Un infinito aplauso para todos los profesionales sanitarios y otros profesionales que continúan trabajando como verdaderos héroes. Los Héroes de la #Humanidad se están enfrentando al #COVID19 #Ganaremos #WeWillWin #FIFA https://t.co/cMqqdTCuEH,0
"Madre mía...la OMS declarando la pandemia el 11 de marzo, cuando en el informe de la guardia civil pone que la declaró el 30 de enero.

¡A ver si ahora va a saber más la OMS que la guardia civil!",0
"LO QUE EL CORONAVIRUS SE LLEVÓ
Pedro Sánchez está acabado. No sé si mañana, la semana que viene o dentro de tres semanas, pero va a tener que ceder el testigo. A medida que el no de muertos crezca, y va a crecer mucho, su situación va a irse volviendo cada vez más insostenible",0
Qué honestidad y humildad. Demostrar sin complejo que hay cosas que no se conocen y comprometerse a aprenderlas e informar después es preferible a fliparse por miedo a que te señalen por no saberlo todo.,0
@A3Noticias @susannagriso @IdiazAyuso Es increíble que aún pidan pasar de fase. Es el epicentro de la pandemia debería ser la última comunidad en pasar de fase!! 🤦🏽‍♂️,0
@Miracorredor @FJVillalvilla @javiRpalacios una duda con el  dinero público de nuestros impuestos no compra mascarilla para la protección de los ciudadanos pero con ese dinero  si se aplica una subida de sueldo por lo bien que lo hace,0
Bravo por este gesto de Fernando Simón. https://t.co/Hy2wwAsvyl,0
"No hay ningún plan; ni lo ha habido en inicio de pandemia, permitiendo concentraciones tumultuarias y sin tomar medidas; ni las hay ahora, permitiendo que se produzcan casos como la salida descontrolada de niños, sin un agente cívico o policia que corrigiera la desbandada!",0
la vdd me dio mucha risa que justo cuando bad bunny sacó la rola que dice “hoy se bebe hoy se gasta hoy se fuma como un rasta si dios lo permite” dios no lo permitió y nos mandó una pandemia,0
"Rafa Nadal está en su derecho de opinar todo lo que quiera sobre la pandemia, pero yo soy más de Jürgen Klopp: ""La opinión de los famosos sobre el coronavirus no es importante. Yo solo soy un entrenador de fútbol. Pregúntenle a gente más inteligente"". https://t.co/PcdIttuz2X",0
"#COVID19 Buenos días. Para los que no crean en el posible contagio por tocar superficies, les recomendaría leer esta investigación: ""su única interacción fue comer de espaldas en un comedor y pasarse el salero"". 
https://t.co/8CZVDgjOBQ https://t.co/3c2SUGe5Pb",0
"Lo más triste es que #Abascal está convencido de que seguirá cosechando votos con este discurso del odio: “chequistas”, “matones bolivarianos”, “soberbia soviética”, “Paracuellos”...
#EstadoDeAlarma",0
No es broma: la ONU dice que nuestro comportamiento ha provocado que nos llegue el coronavirus como un mensaje de Dio... digo de la naturaleza,0
"Un nuevo virus respiratorio, con potencial de convertirse en pandemia, ha sido detectado en explotaciones de cerdos en China. https://t.co/o1YToBkpL8",0
Coronavirus Vaccine Tracker - Muy útil para seguir la carrera en The New York Times https://t.co/tq4rw2Hr3j,0
"🇪🇸🇨🇱 Podéis ver aquí al completo el debate entre @CristinaNarbona, presidenta del PSOE, y @HeraldoMunoz, presidente del @PPD_Chile, sobre el Pacto Verde🌍 en el marco de la #COVID19

Los socialistas debemos liderar la recuperación justa y sostenible.👇🏼

https://t.co/HFtvlLWAhS",0
"@joseyinsi @relatandohisto1 Otro igual, los guantes los lleva puesto, fijate, q esto ya lo habiamos pasado, y la mascarilla no es Obligatoria, joder q esto ya lo habiamos pasado, al final, es otra vez la misma historia",0
"A ver si nos aclaramos ya. Las medidas extremas no se tomaron por la gravedad del coronavirus, sino por la dimensión masiva de un contagio que las autoridades permitieron no tomando medidas a tiempo. Todos los estragos humanos y económicos vienen de ahí. Lo de España es único.",0
Se acabó el estado de alarma coronavirus en España.,0
"@Gabyu03 @berweber @laFUA Y entre un respirador para alguie q tiene covid 19 y tus clases de materialismo historico.

No hay duda a donde dirigir la guita.",0
"Hace días que no hago análisis de datos Covid-19 en España. 

No es que no quiero, es que no puedo: debido a cambios constantes en métodos, formatos, y definiciones, los datos simplemente no son analizables.

@kikollan lleva semanas señalando esto. Yo no es el único.
👇 https://t.co/H9Nqd7VKsO",0
Es que como hubiese un solo infectado que haya propagado el virus ya verás el repunte de contagios de los anormales estos,0
"este señor antivacunas comprando niños sin problemas poniendo en peligro la salud de esos menores y la salud pública en general, llamadme radical pero yo a los antivacunas les quitaba la custodia de los niños",0
EXCLUSIVA Las imágenes de laSexta que demuestran que el confinamiento no va con Rajoy https://t.co/4SIjwzAW1K,0
De esta pandemia salimos mejores. https://t.co/ZTjEPirurz,0
Escándalo en Italia: Autopsias revelan que protocolo de la OMS mató a miles de pacientes del virus PCCh #FelizLunes https://t.co/Stjn8H9dFN,0
"❌ No, no te van a grabar las llamadas durante el estado de alarma #coronavirusfacts #COVID19 👇https://t.co/ioTfAV89Fo",0
🏥 Catorce partos COVID en el Hospital de Salamanca y todos los bebés nacieron sin el virus 👉 https://t.co/76Q5AGvhho,0
"🔴🎙️ #SeraOtroDia ""Hemos tenido a algunos trabajadores covid positivo, pero mayoritariamente en un programa terapéutico en la zona norte de Santiago"", Pablo Egenau, director social del @Hdecristo",0
Guadalajara participa en registro internacional Covid-19 https://t.co/gFhgWkxTyL #Albacete https://t.co/bJmRg4e3h3,0
Saludo a la gente sonriendo y llevo la mascarilla puesta en fin 🤡🤡🤡🤡,0
"Cuando la corrupción ya está normalizada e institucionalizada: 

Isabel Ayuso, durante la pandemia adquirió iPhones por valor 650.000 euros. Se niega a aclarar donde fueron a parar.",0
"📽️ @ignacioaguado ""El impacto económico del #COVID19 es evidente: muchas familias tienen una situación de vulnerabilidad"" #ConsejoDeGobierno  

✅ Por eso es imperativo reabrir Madrid.
😷 Pero NO debemos descuidarnos: hay que convivir con el virus protegiéndonos. https://t.co/hS2hk2wKUH",0
"Mi buen amigo @PepeApple nos vuelve a ilustrar con un hilo académico sobre predicciones en la evolución del #COVIDー19 Gracias Pepe, nos encantan tus hilos!",0
Tres comarcas de Huesca retroceden a la fase 2 de la desescalada por los brotes de Zaidín y Binéfar https://t.co/lIwsEs7Kae a través de @heraldoes,0
Arte moderno en los jardines: la receta de Berlín ante la Covid-19 https://t.co/ZRbKjDhRDG,0
"Undécima convocatoria del #curso #online de Especialización en #Desinfección #COVID19 

Dirigido a: Empresas de servicios biocidas que realizan desinfecciones, así como otros agentes implicados en la actual crisis sanitaria del COVID-19.

Más info: https://t.co/VceVw3DmD1 https://t.co/JhieI5PnwW",0
"Y ya estamos viendo las consecuencias de tanto aplauso y tanta fiesta de los balcones, y cero realidad de los efectos que el #COVID19 provoca, decenas de rebrotes por toda España.

#LaSilenciosaCat https://t.co/twVW9uXNNm",0
Comunicado de Prensa Unidas Podemos Izquierda Unida Verdes Cehegín. #Cehegín #UnidasPodemos #Podemos #IzquierdaUnida #Covid_19 #YoMeQuedoEnCasa https://t.co/QWUPnPQIEl,0
#12Jun #GraciasPuebloHeróico Por tanta Disciplina y paciencia ante pandemia dl Covid-19😷F/Vie @ElRusoAlberto1 @AlexRodrilobo @Carmenalde @amundaraincarlo @will6942 @Heryjesus4f @639xiomara @dpiloncita @maryuricj @marial2021 @mariamariju @nely_aluchar @GestionMundo @GuarosocialL,0
"Si en España la ciencia tuviera la misma financiación que la Iglesia seríamos el motor del mundo!! Esperemos que esta pandemia les haya abierto los ojos y lo vean con claridad!! I+D, Sanidad Publica, Enseñanza Pública!!",0
Ayer en Reino Unido registraron 1.200 contagios y 128 muertes por el Covid-19. Mañana podrán venir turistas británicos a España sin restricciones. ¿Está cometiéndose un peligrosísimo disparate?,0
"El psicópata entiende la unidad como la Santísima Trinidad: Tres poderes (legislativo, ejecutivo y judicial) y un solo dios.",0
"No sabeis comprar test, no sabeis comprar mascarillas, no sabiais que habria pandemia, no sabeis contar los muertos....

¿PARA QUE POLLAS TANTO MINISTERIO Y VICEPRESIDENCIAS? https://t.co/tdqVvgbnwN",0
".@MartaNebot: ""Estamos llegando a una locura absurda. Con los datos que manejamos, el #Coronavirus no mata. Pero está siendo un pelotazo mediático y se está utilizando políticamente.""
#TodoEsMentira3M https://t.co/mSrxSSLDvN https://t.co/z2ABD0aY7q",0
"Hablamos con Carmen Cervera desde su refugio en Andorra sobre su afición al esoterismo, su aportación durante la pandemia y su forma de soportar el confinamiento: escribiendo su biografía.
https://t.co/ipXaB8Md0D",0
"📽 Y esta es la actitud del sinvergüenza de @gabrielrufian en la comisión de sanidad del @Congreso_Es mientras se trata de tomar medidas contra el #COVIDー19 y el diputado de @vox_es, @jlsteeg, ofrece su apoyo a @salvadorilla. https://t.co/1JZGf5bPXM",0
"Iker Jiménez ajusta cuentas con quienes negaban la epidemia: ""Decían que yo hacía alarmismo y Ana Pastor periodismo con rigor"" justo al contrario Iker es rigor y periodismo y la Pastor es la portavoza del gobierno encargada de blanquear su ineptitud. https://t.co/6e8Cn4BOBk",0
"@sanchezcastejon eres el peor virus de la #Democracia .

#SanchezVeteYa #GobiernoDimision",0
Visto en un ascensor del ensanche de Barcelona. Como está el patio. Creo que el Covid está sirviendo de escusa para entrometerse en la vida privada de otros. https://t.co/ulwYO7OiFt,0
"🔴 Todos los madrileños vuelven a tener a partir de mañana una mascarilla gratis en su farmacia más cercana, como la última vez. 

Mascarillas KN95, de calidad. Hay 15 días para recogerlas.",0
"El exalcalde de Barcelona Xavier Trias, ingresado en el hospital por coronavirus https://t.co/DUQ0LqA2Qy https://t.co/3wO89pgSLX",0
"Las multas por no llevar mascarilla en el transporte público oscilarán entre los 600 y los 30.000 euros

Recordemos que Sánchez, Illa y Simón decían que no eran necesarias hace unos días🤬 https://t.co/RdoJkADnw1",0
"@Ernesto_Fado @Cascabullo48 @europapress Vale... Creí que era la única que se había quedado pillada con la frasecita... 
Si es difícil... Que no lo intenten, creo que hay gente más preparada en otros sitios, no veo que sean capaces de multitarea... O pandemia o cambio climático, lo más urgente es la pandemia...",0
"@PatrickOrtizG los efectos del confinamiento en el medio ambiente🌍
*aún le busco un título mejor

(spoiler: no son taaan positivos como los virales muestran)",0
Y la correa?,0
“ostia la mascarilla” el nuevo ostia el worbu/la cartulina,0
"Cada día en @comunidadmadrid guardamos un minuto de silencio por las víctimas del #Covid19. 

Hoy, primer día de luto nacional, lo hemos celebrado todo el Gobierno regional junto.

Cada mañana más ciudadanos se suman a este momento tan especial 🇪🇸 Gracias por venir. https://t.co/xKoJtMjFur",0
"♻️La Región tiene la gran oportunidad de cambiar 25 años de políticas ambientales insostenibles del PP

⚠️Los decretazos de López Miras que usan el #Covid19 como excusa para desproteger el #MedioAmbiente nos sitúan a la contra de Europa

🇪🇺❌Su deriva nos aleja de fondos europeos https://t.co/SLVZbuKLDa",0
"Se busca a 95 diputados. Ahora estamos 14 diputados presentes en el hemiciclo y solo 46 conectados telematicamente. Los otros 95 están en sus casas sin hacer su trabajo, en matinales, dónde? Mientras, la mayoría de los chilenos luchan contra la cesantía, el hambre y la pandemia. https://t.co/WmLm57h14a",0
Durante muchas semanas en @hospitalclinic todos hemos estado centrados en la emergencia #COVID19. Ahora toca mantener  la atención en #COVID19 pero empezar a pensar y trabajar por nuestros pacientes con patologías oculares,0
"La empresa 'fantasma' a la que Illa compra hisopos para el Covid-19 está en Suiza y se dedica a la moda infantil: https://t.co/bYs6Frk739.
Esto es cómo el que va a una carnicería y se trae 50 melones.
Pues lo mismo .🤔🤔🤔🤔",0
"Necesitamos un sistema sanitario 100% publico, transparente y participativo. No q en EEUU con s sistema sanitario privatizado, ( tal como le gusta a la derecha española aquí) un superviviente del coronavirus en EEUU recibe una factura de 1,1 millones d dólares al salir d hospital",0
"España pidió en febrero que Europa rebajase la alarma: El virus no tendrá alto impacto. 

El peor gobierno en el peor momento.  https://t.co/Q9w21FRjCV",0
"Antón Costas, economista: ""80.000 millones es el 8% del PIB. Es el dinero que cada año no se recauda por los privilegios fiscales de algunos. De ahí se podrían coger los 5.000 millones que se necesitan para ayudar a la gente que se quede sin trabajo a causa de la pandemia"".",0
